,NCT Number,count,enrolled
822,NCT04416139,1,10
823,NCT03563495,1,10
824,NCT02779374,1,10
825,NCT04397471,1,10
826,NCT03217032,1,10
827,NCT03158896,1,10
828,NCT01175655,1,10
829,NCT03743155,1,10
830,NCT02566655,1,10
831,NCT03961243,1,10
832,NCT02824393,1,10
833,NCT02338271,1,10
834,NCT01739504,1,10
835,NCT04527224,1,10
836,NCT01626625,1,10
837,NCT02484560,1,10
838,NCT03933995,1,10
839,NCT05286255,1,10
840,NCT02277145,1,10
841,NCT01946048,1,10
842,NCT02112500,1,10
843,NCT01306513,1,10
844,NCT02442817,1,10
845,NCT02045745,1,10
846,NCT04234412,1,10
847,NCT03827096,1,10
848,NCT02403232,1,10
849,NCT01389661,1,11
850,NCT00284986,1,11
851,NCT03252340,1,11
852,NCT01522716,1,11
853,NCT02327832,1,10
854,NCT02859025,1,10
855,NCT01076920,1,10
856,NCT02966951,1,10
857,NCT04446884,1,10
858,NCT01420432,1,10
859,NCT02344849,1,10
860,NCT01378182,1,10
861,NCT01548092,1,10
862,NCT02749448,1,10
863,NCT03838250,1,10
864,NCT01872624,1,10
865,NCT02443961,1,10
866,NCT03219801,1,10
867,NCT01207869,1,10
868,NCT01162915,1,10
869,NCT04432467,1,10
870,NCT02285673,1,10
871,NCT02566681,1,10
872,NCT01318330,1,10
873,NCT04467047,1,10
874,NCT00823316,1,10
875,NCT05042206,1,10
876,NCT03570333,1,10
877,NCT05176366,1,10
878,NCT03929120,1,10
879,NCT04062136,1,10
880,NCT03525418,1,10
881,NCT02574572,1,10
882,NCT03555357,1,10
883,NCT03684122,1,10
884,NCT05060107,1,10
885,NCT02323789,1,10
886,NCT02961725,1,10
887,NCT03308565,1,10
888,NCT04716803,1,10
889,NCT01895413,1,10
890,NCT01913886,1,10
891,NCT03003364,1,10
892,NCT01962233,1,10
893,NCT02387151,1,10
894,NCT02893306,1,10
895,NCT02165904,1,10
896,NCT05078385,1,10
897,NCT02064062,1,10
898,NCT01742260,1,10
899,NCT04426643,1,10
900,NCT00221130,1,10
901,NCT05130983,1,10
902,NCT05490173,1,10
903,NCT03645460,1,10
904,NCT01804153,1,10
905,NCT02824653,1,10
906,NCT04064879,1,10
907,NCT03351868,1,10
908,NCT05523011,1,10
909,NCT05152160,1,10
910,NCT01824069,1,10
911,NCT02387723,1,10
912,NCT04791878,1,10
913,NCT04275024,1,8
914,NCT01771640,1,8
915,NCT04136743,1,24
916,NCT02326935,1,2
917,NCT03115749,1,2
918,NCT02414295,1,1
919,NCT03461458,1,1
920,NCT04482699,1,1
921,NCT01142856,1,1
922,NCT00515307,1,1
923,NCT02403947,1,1
924,NCT03028428,1,1
